ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Pumba z filmu Król Lew by³:;guzcem ;lwem ;surykatka ;tygrysem;1
2;Z kim graliœmy s³ynny mecz na wodzie w polfinale Mistrzostw Swiata w Pilce Noznej 1974? ";z Brazylia ;z RFN ;z Holandia ;z NRD;2
3;Ile zlotych medali olimpijskich zdobyl Adam Ma³ysz?;1;2;4;0;4
4;Najwiekszy ocean na Ziemi to?;Ocean Spokojny ;Ocean Atlantycki ;Ocean Indyjski ;Ocean Arktyczny ;1
5;Tradycyjne gruzinskie chinkali wypelnione sa:;kozim serem ;pieczarkami ;miesem ;owczym serem ;3
6;Stolic¹ Stanów Zjednoczonych Ameryki jest:;Nowy Jork ;Waszyngton ;Chicago ;Los Angeles;2
7;Kto zostal krolem Anglii po bitwie pod Hastings?;Henryk Zdobywca ;Wilhelm Zdobywca ;Karol Zdobywca ;Harold Zdobywca;2
8;Panczenisci do uprawiania swojego sportu potrzebuja:;karabinku ;lyzew ;nart ;pilki;2
9;Tron we krwi to jeden z najwazniejszych filmow wyprodukowanych:";we Wloszech ;w Japonii ;w Niemczech ;w Polsce;2
10;Michael Jordan zdobyl tytuly mistrza NBA z druzyna:;Chicago Bulls ;Houston Rockets ;Boston Celtics ;Los Angeles Lakers;1
