ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Dokoncz przyslowie: Blizsza cialu koszula niz...;bizuteria ;sukmana ;suknia ;bransoletka;2
2;Stroj w islamie który zakrywa calkowicie cialo i twarz kobiety pozostawiajac niewielka siatke na oczach, to: ;nikab ;burka ;czador ;hidzab ;2
3;Interlokutor to inaczej:;kalkulator ;lokator ;rozmowca ;pasazer;3
4;Jaki wloski ser jest niezbednym skladnikiem tiramisu? ;ricotta ;mozarella ;gorgonzola ;mascarpone ;4
5;Freddie Mercury naprawde nazywal sie:;Farrokh Bulsara ;Cordozer Calvin Broadus ;Kenan Doulu ;Orhan Gencebay ;1
6;Na banknocie 20 zl widaæ profil...;Krolowej Jadwigi ;Boleslawa I Chrobrego ;Zygmunta III Wazy ;Jana III Sobieskiego ;2
7;Z chora w¹troba udasz siê do:;hepatologa ;hematologa ;urologa ;ortodonty;1
8;Technika wokalna znana z bardziej ekstremalnych odmian muzyki metalowej:;jodlowanie ;soul ;trash ;growl ;4
9;Stany Zjednoczone posluguja siê dolarami. Ale nie tylko one. Gdzie jeszcze zaplacimy waluta o tej nazwie? ;Hongkong ;Wietnam ;Panama ;Malezja;1
10;Glowny skladnik piwa to:;woda ;chmiel ;sod ;ocet;1
