ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Najdluzsza rzeka w Polsce jest Wisla. Ile kilometrow mierzy?;1134;986;1047;1260;3
2;Jak nazywal sie brat Boleslawa Krzywoustego?;Mieszko ;Jaroslaw ;Zbigniew ;Adam;3
3;Ilu sasiadow Polski ma dostep do morza?;dwoch ;trzech;czterech;jeden;3
4;Anita Wlodarczyk zdobyla dwa zlote medale olimpijskie w:;rzucie mlotem ;pchnieciu kula ;skoku w dal ;biegu przez plotki;1
5;Temudzyn to znany pozniej:;Marco Polo ;Czyngis-chan ;Sulejman Wspanialy ;Bujantu-chan;2
6;Janusz Sidlo byl jednym z czolowych swiatowych:;dyskoboli ;oszczepnikow ;plotkarzy ;sprinterow;2
7;Kto zastapil na tronie Wladyslawa Lokietka?;Kazimierz Wielki ;Ludwik Wegierski ;Jadwiga ;Jan I Olbracht ;1
8;Religia dominujaca w Japonii jest buddyzm oraz...;chrzescijanstwo ;szinto ;islam ;prawoslawie;2
9;Jak nazywal sie najwiekszy statek Krzysztofa Kolumba, na ktorym dotarl do Ameryki?;Santa Maria;Pinta;Nina;Gloria;1
10;Na tablicy Mendelejewa symbolem P oznaczony jest...;potas ;azot ;fosfor ;hel;3
