ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Miec sie pyszna to:;byc w tarapatach ;czuc niebo w gebie ;szczycic sie czyms ;byc obrzydliwie bogatym ;1
2;Ktora z biblijnych postaci nosi przydomek Iskariota?;Mojzesz ;Judasz ;Abel ;Noe ;2
3;Gdy stoisz w pozycji wyprostowanej z opuszczonymi wzdluz bokow rekami, srodek ciezkosci ciala znajduje sie na wysokosci... ;Glowy ;Ramion ;Miednicy ;Kolan ;3
4;Niektore z owocow dojrzewaja jeszcze po zbiorach. Ktory zerwany niedojrzaly taki pozostanie? ;wisnia ;banan ;gruszka ;awokado ;1
5;Ktory kraj jest ojczyzna k-popu?;Kanada ;Kuwejt ;Kongo ;Korea Poludniowa ;4
6;Kobiety zwykle nie maja...?;istoty szarej ;narzadu Cortiego ;chromosomu Y ;sciegna Achillesa ;3
7;Jajko z zerem na poczatku kodu pochodzi od kury z chowu?;klatkowego ;sciolkowego ;ekologicznego ;na wolnym wybiegu ;3
8;Ktory z wymienionych to nie odcien czerwonego?;karmazynowy ;cynamonowy ;szkarlatny ;karminowy ;2
9;Ktory z wymienionych to pozadany specjalista marketingu internetowego?;social media ninja ;network muszkieter ;superweb komandos ;cybernetyczny gladiator ;1
10;Eurydyka to zona:;Eurysteusza ;Orfeusza ;Morfeusza ;Perseusza ;2
