ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Op³ata reprograficzna dotyczy:;kopiowych o³ówków ;kopiowanych uszu ;papieru A1 ;papieru A4 ;4
2;Najwiêcej glukozy zu¿ywa;trzustka ;w¹troba ;serce ;mózg ;4
3;Jak siê okazuje, koty i kotwice maj¹ sporo wspólnego. Jedne i drugie zazwyczaj maj¹:;uszy, ³apy i pazury ;oczy i ogony ;³aty i prêgi ;chód pe³en gracji ;1
4;Kabanos mieœci s³owo kaban, które oznacza:;cielaka ;wieprzka ;barana ;os³a ;2
5;Co rozci¹ga siê na terytorium jedenastu pañstw?;Kaukaz ;Jangcy ;Niasa ;Sahara ;4
6;Trzydziestego pierwszego dnia którego miesi¹ca 1859 roku po raz pierwszy zabrzmia³ dzwon na londyñskiej wie¿y Big Ben? ;kwietnia ;maja ;wrzeœnia ;listopada ;2
7;Artyku³ 182 Kodeksu cywilnego reguluje kwestiê poœcigu za:;z³odziejem drobiu ;stadem muflonów ;rojem pszczó³ ;niewiernym ma³¿onkiem ;3
8; Z tego zestawu form¹ najbardziej przypomina owoc morwy: ;p³ód ;gameta ¿eñska ;morula ;gameta mêska ;3
9;£êczysko, które sk³ada siê z ramion i majdanu, to g³ówny element:;³uku ;¿o³nierskiego p³aszcza ;cyrkla ;liturgicznego œwiecznika ;1
10; W 1817 r. warszawskie £azienki Królewskie zosta³y sprzedane carowi:;Iwanowi IV GroŸnemu ;Piotrowi I Wielkiemu ;Aleksandrowi I Romanowowi ;Miko³ajowi II Romanowowi ;3
