ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Kwitnace Wisnie w Japonii zwiastuja nadejscie wiosny, a co symbolizuja?;kruche piekno i ulotna nature zycia ;nowe zycie ;dostatek ;niedostatek;1
2;Wojna 30-letnia rozegrala sie glownie na terenie:;Wloch ;Francji ;Niemiec ;Hiszpanii;3
3;Ktory turniej Wielkiego Szlema rozgrywa sie na kortach Stade Roland Garros?;US Open ;Australia Open ;French Open ;Wimbledon;3
4;Rozwiaz zadanie: Kasia przygotowala z cukru i wody syrop do deseru. Stosunek masy cukru do masy wody w tym syropie jest rowny 5:3. Ile procent masy tego syropu stanowi masa cukru? ;37,5 proc. ;60 proc. ;62,5 proc. ;65 proc.;3
5;W ktorym rozbiorze Polski nie brala udzialu Austria?;pierwszym ;drugim ;trzecim ;czwartym;2
6;Ilu graczy liczy druzyna hokeja na lodzie? Chodzi oczywiscie o liczbe graczy na lodowisku ;5;6;7;8;2
7;Mul to krzyzowka:;klaczy osla i ogiera konia ;krowy i ogiera konia ;klaczy konia i ogiera osla ;krowy i ogiera osla;3
8;Jedna z najwiekszych bitew II wojny swiatowej na Pacyfiku miala miejsce:;na Morzu Koczkodanowym ;na Morzu Koralowym ;na Morzu Kokosowym ;Morzu Martwym;2
9;Slynny rajdowiec Niki Lauda byl z pochodzenia:;Finem ;Szwedem ;Austriakiem ;Norwegiem;3
10;Kto gral role Pana Mlodego w ekranizacji Wesela Wyspianskiego wyrezyserowanej przez Andrzeja Wajde?;Andrzej Lapicki ;Wojciech Pszoniak ;Daniel Olbrychski ;Cezary Pazura;3
