ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Kto napisa³ epicki poemat Raj utracony?;Henry James;John Keats;John Steinbeck;John Milton;4
2;Z czego zbudowany jest najsilniejszy dom w Trzech malych swiniach?;Cegly;kije;Slomka;Bambus;1
3;Jak nazywa siê maly plastikowy kawalek na koncu sznurowadla?;Strunowy;Okladka;Sznurowka;Bazia;4
4;Jak dlugo trwa chwila?;60 sekund;90 sekund;120 sekund;180 sekund;2
5;Jaka byla pierwsza zabawka reklamowana w telewizji?;lalka Barbie;Pan Ziemniak Glowa;Piekarnik do latwego pieczenia;Wyscigi rakietowe;2
6;W jakim kraju gral David Beckham?;Hiszpania;Brazylia;USA;Anglia;4
7;Ktora postac Disneya z Malej Syrenki spiewa piosenke Kiss the Girl?;Fladra;Sebastiana;Urszula;Prince Eric;2
8;W jakim kraju znajduje siê Praga?;Hiszpania;Brazylia;Republika Czeska;Anglia;3
9;Jaka jest najmniejsza planeta w naszym Ukladzie S³onecznym?;Merkury;Ziemia;Mars;Saturn;1
10;Kto byl glowa panstwa w Japonii podczas II wojny swiatowej?;Cesarz Hirohito;Cesarz Mutsuhito;Cesarz Akihito;Cesarz Yoshihito;1
