ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;W ktorym roku zakonczyla sie pierwsza wojna swiatowa? ;1918;1919;1920;1939;1
2;Kto strzelil jedynego gola w wygranym 1:0 meczu Chelsea z Man City w finale Ligi Mistrzow 2021? ;Mason Mount ;N golo Kante ;Kai Havertz ;Timo Werner ;3
3;Jaka jest najwieksza firma technologiczna w Korei Poludniowej wedlug Fortune 500? ;Hyundai ;Samsung ;Huawei;Kia ;2
4;Ile serc ma osmiornica? ;1;2;4;3;4
5;Ile metrow mierzy gorujaca nad Rio de Janeiro figura Chrystusa?;16;38;54;56;2
6;Ktorym kraj jest najwiekszym na swiecie producentem diamentow?;Rosja;USA;Kenia ;RPA;1
7;Jaki procent powierzchni Grenlandii pokrywa ladolod?;50 proc;30 proc;80 proc;90 proc;3
8;Most Golden Gate w San Francisco zostal zbudowany nad:;Zatoka Kalifornijska ;ciesnina Golden Gate ;rzeka Rio Grande ;Wisla;2
9;Pojazd z literami TK na tablicy rejestracyjnej pochodzi z:;Tarnowa ;Kielc ;Klodzka ;Warszawy;2
10;Tyrol to nazwa regionu lezacego na terenie:;Wloch i Austrii ;Niemiec  Austrii i Francji ;Wloch i Szwajcarii ;Hiszpanii;1
