ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;"""Mona Lisa"" z Luwru to obraz namalowany:";na tkaninie ;na metalu ;na drewnie ;na murze ;3
2;Psy saneczkuj¹:;tylko zim¹ ;tylko na saneczkach ;gdy chc¹ siê popisaæ ;gdy im coœ dolega ;4
3;Co jako dodatek do jedzenia ma oznaczenie E175?;z³oto ;srebro ;platyna ;rtêæ ;1
4;Jakie elementy garderoby powstaj¹ najczêœciej z materia³u typu softshell?;rajstopy ;kurtki ;krawaty ;gorsety ;2
5; Krupy to zjawisko meteorologiczne, które najbardziej przypomina:;grad ;m¿awkê ;mg³ê ;rosê ;1
6;Sztruks mo¿na najproœciej opisaæ jako:;kombinacjê rombów ;sekwencjê pr¹¿ków ;uk³ad kó³ ;zestaw kwiatków ;2
7;Groomer zadba o wygl¹d twojego:;auta ;psa ;basenu ;chodnika ;2
8;Która liczba przypomina symbol zodiakalnego Raka?;7;13;21;69;4
9;Czego najwiêcej jest w sk³adzie chemicznym bursztynu?;tlenu ;wodoru ;siarki ;wêgla ;4
10;Wœród koœci czaszki nie ma koœci:;promieniowej ;jarzmowej ;skroniowej ;potylicznej ;1
