ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Kandydat na wysokie stanowisko czesto nie musi miec odpowiednich kwalifikacji, o ile ma mocne: ;lydki;kolana;plecy ;rece;3
2;Sygna³owka to trabka sygnalistow. Gdzie?;na wiezy mariackiej ;w myslistwie ;w korporacjach ;w polityce ;2
3;Imperium Inkow rozci¹galo sie:;na polnocy Ameryki Polnocnej ;na poludniu Ameryki Polnocnej ;na wschod od Ameryki Po³udniowej ;na zachodzie Ameryki Poludniowej ;4
4;Witajac sie a la Jurek Owsiak, powiemy:;Hejka! ;Cze! ;Siema! ;Eluwina! ;3
5;Bezposrednio po której z wojen powsta³ UNICEF, zeby zapewnic zywotnosc i opieke zdrowotna dla dzieci i matek? ;po wojnie secesyjnej ;po I wojnie swiatowej ;po II wojnie swiatowej ;po wojnie indochiñskiej ;3
6;W filmie „Jak zabic starsza pania” z 1955 r. pieniadze z napadu kwintetu smyczkowego na furgonetkê skrywa futeral na: ;gesle ;fidel p³ocka ;viole da gamba ;wiolonczele ;4
7;Ktory z gruczo³ow wydziela sok trawienny?;trzustka ;szyszynka ;nadnercze ;grasica ;1
8;O czym jest piosenka „Przasniczka” Czeczota i Moniuszki?;o przêdzeniu welny ;o tkaniu tkaniny ;o dzianiu dzianiny ;o milosci i zdradzie ;4
9;Ktore slowa obsluguja frazeologicznie sytuacjê bez wyjscia?;stac i chrzakac ;kulic siê w kucki ;lezec i kwiczec ;bekac i beczec ;3
10;Irina, Masza i Olga z dramatu Antoniego Czechowa z 1900 r. to:;babka, matka i corka ;babka i dwie wnuczki ;matka i dwie corki ;trzy siostry ;3
