ID;QUESTIONS;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Z jakiego kraju pochodzi Justin Bieber?;USA;Kanada;Belgia;UK;2
2;Jaki film  zawiera epizod autorstwa Donalda Trumpa?;Sam w domu;Sam w domu 2: Zagubieni w Nowym Jorku;Richie Rich;Male dranie;2
3;Ktora postac z kreskowek mieszka w ananasie pod morzem?;Fladra;Nemo;Rick i Morty;SpongeBob Kanciastoporty;4
4;Jakie jest narodowe zwierze Szkocji?;Kon;Jednorozec;Wilk;Krowa;2
5;Ktory kraj produkuje najwiecej kawy na swiecie?;Kolumbia;Indonezja;Brazylia;Wietnam;3
6;Jaki jest smak Cointreau?;Bazylia;Cytrynowy;Wanilia;Pomaranczowy;4
7;Jak nazywa sie dzwon zegarowy w Palacu Westminsterskim w Londynie?;Big Ben;Pancernik;Tykwa;Mumia;1
8;Jaki byl pierwszy napoj bezalkoholowy zabrany w kosmos?;Pepsi;Fanta;Coca cola;Sprite;3
9;Ile wazy kostium Chewbacca?;Osiem funtow;Siedemnascie funtow;Szesc funtw;Pietnascie funtow;1
10;Kto napisal slynny pamietnik, ukrywajac sie przed nazistami w Amsterdamie?;Anna Frank;Bridget Jones;Maria Curie;Helen Keller;1
